"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"EMC72",0.00967547924298895,0.69147559421044,0.146,0.315,1,"5","EMC7"
"EBPL2",0.00975475276693087,0.517141454877502,0.258,0.494,1,"5","EBPL"
"AHSA11",0.00978135104609374,0.162219605581002,0.124,0.278,1,"5","AHSA1"
"HECTD11",0.00989118472894424,0.189640069783654,0.034,0.133,1,"5","HECTD1"
"VAMP21",0.00993629789850097,0.270146754737911,0.157,0.324,1,"5","VAMP2"
"UBE2L3",0.00998397957707854,0.47406596717731,0.236,0.458,1,"5","UBE2L3"
"LRRC26",7.98090577219219e-50,5.05262884587406,0.507,0.04,1.64869551441946e-45,"6","LRRC26"
"ATP6V1B1",7.06112692502063e-49,4.53083509359606,0.507,0.041,1.45868760017076e-44,"6","ATP6V1B1"
"GSTA1",8.50729547383057e-47,5.35022848257874,0.384,0.018,1.75743709898392e-42,"6","GSTA1"
"MUC16",3.19057304884853e-41,5.90858758562895,0.301,0.01,6.5910858043113e-37,"6","MUC16"
"PSCA",2.57470758003125e-40,5.13669616748593,0.37,0.023,5.31883091882855e-36,"6","PSCA"
"CAMK2N1",4.24962014069662e-39,5.36002381715628,0.397,0.031,8.77886528665107e-35,"6","CAMK2N1"
"CLDN3",7.62389263635423e-38,5.59841223233581,0.274,0.009,1.57494374081806e-33,"6","CLDN3"
"PIGR",2.30941827799285e-36,4.71487871668383,0.411,0.038,4.77079627867764e-32,"6","PIGR"
"WFDC2",4.89415391150718e-36,4.51243257779736,0.973,0.785,1.01103431503915e-31,"6","WFDC2"
"DUOXA2",1.89863739564856e-35,5.3222599124485,0.37,0.03,3.92220513193079e-31,"6","DUOXA2"
"S100A62",2.84210323004056e-34,2.06385040789468,0.986,0.941,5.87121685261778e-30,"6","S100A6"
"KRT7",2.5606001648282e-33,4.10857737552795,0.808,0.304,5.28968782050209e-29,"6","KRT7"
"ATP6V1C2",1.02910868222828e-32,4.65718572116083,0.397,0.04,2.12593271574718e-28,"6","ATP6V1C2"
"KRT23",6.88996694184325e-32,4.31205493077811,0.315,0.022,1.42332937084598e-27,"6","KRT23"
"KRT192",8.37123477364003e-32,1.78876704945667,1,0.718,1.72932967953856e-27,"6","KRT19"
"LGALS31",1.51864661148081e-31,2.65492201674886,0.918,0.751,3.13722016999705e-27,"6","LGALS3"
"SMIM5",2.05210710265445e-30,4.01942114883289,0.342,0.03,4.23924285266357e-26,"6","SMIM5"
"GDPD3",4.93363178587643e-29,4.68273274915616,0.233,0.01,1.01918965432635e-24,"6","GDPD3"
"IL191",5.45302079973351e-28,4.67286057927604,0.288,0.022,1.12648503680895e-23,"6","IL19"
"SMIM221",6.30485192152156e-28,3.42255929111069,0.644,0.175,1.30245630994792e-23,"6","SMIM22"
"VSIG2",7.72432164853067e-28,4.62922008555159,0.37,0.043,1.59569036615347e-23,"6","VSIG2"
"AGR3",1.51839835331165e-26,5.57488610355338,0.26,0.018,3.1367073182712e-22,"6","AGR3"
"HSD11B21",5.23553649244937e-26,3.68621323101803,0.548,0.123,1.08155712861019e-21,"6","HSD11B2"
"GPX2",5.62045184270733e-26,4.85683969967714,0.63,0.183,1.16107294166648e-21,"6","GPX2"
"MED24",9.47267830396693e-26,3.98568958760517,0.63,0.191,1.95686588403349e-21,"6","MED24"
"SYT7",9.89292591090747e-26,6.70654789212591,0.151,0.002,2.04368063467527e-21,"6","SYT7"
"FAM3D",2.57629155553114e-25,3.93631589331433,0.301,0.029,5.32210309541624e-21,"6","FAM3D"
"SERPINB111",2.7277606286432e-25,5.46403238645216,0.178,0.006,5.63500790665113e-21,"6","SERPINB11"
"FUT21",9.47593416732701e-25,3.20887770903564,0.479,0.091,1.95753848028641e-20,"6","FUT2"
"CCL28",1.78134082659497e-24,3.93328752190532,0.342,0.041,3.67989387957989e-20,"6","CCL28"
"RPRM",9.94333578972371e-24,3.83922388601648,0.233,0.016,2.05409430744112e-19,"6","RPRM"
"CLDN71",3.25103498422864e-23,2.6336204931442,0.74,0.307,6.71598807041952e-19,"6","CLDN7"
"PLEKHS1",4.26899038067966e-23,6.48227254887244,0.137,0.002,8.81888032840804e-19,"6","PLEKHS1"
"RARRES2",4.32044043336082e-23,4.74836496944396,0.356,0.05,8.92516584723678e-19,"6","RARRES2"
"CYP4B11",4.74610556363198e-23,3.00501371949136,0.479,0.096,9.80450487335095e-19,"6","CYP4B1"
"MBOAT2",9.43787768161353e-23,3.1866972084408,0.493,0.104,1.94967677146772e-18,"6","MBOAT2"
"CRACR2B1",1.2684105765935e-22,2.72629365371245,0.384,0.061,2.62028256912686e-18,"6","CRACR2B"
"TMEM2131",1.35265189753979e-22,4.09136291182569,0.356,0.051,2.79430828993769e-18,"6","TMEM213"
