"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"KRT8",1.0024762827883e-56,1.50064395536026,0.986,0.479,2.07091550498408e-52,"0","KRT8"
"FAM3B",4.42173624183043e-52,1.83484270853484,0.64,0.114,9.1344227283733e-48,"0","FAM3B"
"CXCL17",4.99310470689564e-52,1.97857275284742,0.592,0.102,1.0314755703505e-47,"0","CXCL17"
"TNFSF10",8.84825141757768e-52,1.87402587276094,0.877,0.381,1.8278717778432e-47,"0","TNFSF10"
"AGR2",2.13939772368077e-51,1.6083798276076,0.763,0.195,4.41956781757973e-47,"0","AGR2"
"NUPR1",1.92871679452217e-48,1.77846082194643,0.863,0.374,3.9843431541239e-44,"0","NUPR1"
"TSPAN1",9.23341978515523e-48,1.24905907163312,0.815,0.27,1.90743985921737e-43,"0","TSPAN1"
"MGST1",5.67413451461136e-47,1.196419107308,0.929,0.408,1.17216270802841e-42,"0","MGST1"
"KRT18",1.43404190385381e-44,1.38514021838609,0.919,0.431,2.9624437649812e-40,"0","KRT18"
"KRT19",7.2499523518476e-43,1.24732410409905,1,0.665,1.49769515684468e-38,"0","KRT19"
"HES4",9.27824143560151e-43,1.56712707171385,0.569,0.111,1.91669911576656e-38,"0","HES4"
"CHCHD10",1.69922237722006e-42,1.19859658641394,0.976,0.552,3.5102535868612e-38,"0","CHCHD10"
"SAT1",1.21331423179585e-41,1.308932508074,0.938,0.528,2.50646454004387e-37,"0","SAT1"
"SERPINB13",5.64960969628441e-39,1.79217197583614,0.54,0.117,1.16709637105843e-34,"0","SERPINB13"
"TACSTD2",9.54493638848006e-39,1.09815661518768,0.995,0.607,1.97179295913221e-34,"0","TACSTD2"
"CLDN7",6.39624465199353e-38,1.14402723923768,0.73,0.229,1.32133622020882e-33,"0","CLDN7"
"SPARCL1",1.40331280935315e-37,0.361499794996441,0.36,0.038,2.89896360156174e-33,"0","SPARCL1"
"AKR1C2",1.96540107077258e-37,2.25707681736383,0.417,0.064,4.060125532002e-33,"0","AKR1C2"
"PLPP2",2.02183107925492e-37,1.37679323990583,0.63,0.166,4.17669864352482e-33,"0","PLPP2"
"DEFB1",1.03109133221353e-36,1.09235029243946,0.995,0.571,2.13002847408671e-32,"0","DEFB1"
"CD81",1.30302947966889e-36,1.22427143564542,0.938,0.583,2.69179829909999e-32,"0","CD81"
"RBP1",1.70465416001033e-35,1.32015985494851,0.834,0.35,3.52147456374934e-31,"0","RBP1"
"BAG1",1.2996457310255e-34,1.21265103680347,0.882,0.452,2.68480815115247e-30,"0","BAG1"
"RPL29",2.09882438767924e-34,0.572425918614903,1,0.953,4.33575142006777e-30,"0","RPL29"
"SLC25A5",7.05953917910979e-34,0.907281936885159,0.981,0.665,1.4583596036205e-29,"0","SLC25A5"
"RHOC",8.45763706962903e-34,1.27426899301255,0.806,0.374,1.74717866584396e-29,"0","RHOC"
"PTN",2.11034319678365e-33,1.41369196643547,0.763,0.304,4.35954697591566e-29,"0","PTN"
"GMDS",1.66798778974682e-32,1.13953931090968,0.744,0.275,3.44572917605898e-28,"0","GMDS"
"MDK",2.34364241657637e-32,1.47016796964066,0.739,0.297,4.84149650416347e-28,"0","MDK"
"ELF3",3.34510883901313e-32,1.36549590416095,0.55,0.138,6.91032583963332e-28,"0","ELF3"
"ZG16B",5.47044151223853e-31,1.18439823597557,0.806,0.334,1.13008380759823e-26,"0","ZG16B"
"SMIM22",5.70140100081784e-31,1.20108734568212,0.512,0.125,1.17779541874895e-26,"0","SMIM22"
"SEPP1",1.88107159140251e-30,0.99744201903088,0.858,0.414,3.8859176935193e-26,"0","SEPP1"
"RP11-532F12.5",7.462482080051e-30,1.45825379303186,0.649,0.22,1.54159954809693e-25,"0","RP11-532F12.5"
"HES1",4.17406071183523e-29,0.956587354939222,0.673,0.236,8.62277461850921e-25,"0","HES1"
"SERPINB10",4.87214551362738e-29,3.66438283364987,0.232,0.016,1.00648782020514e-24,"0","SERPINB10"
"ALDOA",5.6071802793981e-29,0.743417406130038,0.986,0.75,1.15833130211806e-24,"0","ALDOA"
"RPL28",5.81887493565872e-29,0.496330393388366,1,0.978,1.20206318420838e-24,"0","RPL28"
"CTSD",6.521047717824e-29,1.04064271788942,0.905,0.48,1.34711803754808e-24,"0","CTSD"
"LSP1",6.53245230923479e-29,1.14148533233212,0.782,0.353,1.34947399804172e-24,"0","LSP1"
"TMEM205",1.27981974381139e-28,1.25545866003928,0.725,0.297,2.64385162676556e-24,"0","TMEM205"
"ITM2B",2.83953549379923e-28,0.702564480119976,1,0.809,5.86591242309045e-24,"0","ITM2B"
"TMPRSS4",3.15171467180172e-28,2.06382412490198,0.322,0.05,6.510812169008e-24,"0","TMPRSS4"
"HEY1",5.14186036011104e-28,2.66893787088932,0.232,0.018,1.06220551319174e-23,"0","HEY1"
"RPL41",5.96883786496511e-28,0.478740610971783,1,0.978,1.23304252614449e-23,"0","RPL41"
"EMP2",7.74756863275625e-28,0.970124287329682,0.706,0.275,1.60049272815479e-23,"0","EMP2"
"FTH1",1.61867006032375e-27,0.702683251729663,0.995,0.833,3.3438486106168e-23,"0","FTH1"
"DCXR",3.01334714027406e-27,1.00155218351427,0.763,0.349,6.22497252237816e-23,"0","DCXR"
"ITGA2",3.05522361621994e-27,1.82200489719735,0.559,0.187,6.31148094638715e-23,"0","ITGA2"
"RPS18",9.84826084789414e-27,0.470668339510582,1,0.989,2.03445372595797e-22,"0","RPS18"
"DAPL1",1.37314547385084e-26,0.900256236888074,0.825,0.408,2.83664391988106e-22,"0","DAPL1"
"ALKBH7",3.7567385688173e-26,0.815524184682314,0.877,0.446,7.76067053546278e-22,"0","ALKBH7"
"SUSD4",6.03956765218686e-26,1.65781633730258,0.332,0.057,1.24765388558876e-21,"0","SUSD4"
"TMEM238",8.99483908932107e-26,1.10308860687302,0.701,0.285,1.85815385907195e-21,"0","TMEM238"
"RPL8",1.14511547639759e-25,0.527160034370687,0.995,0.953,2.36557955114214e-21,"0","RPL8"
"TCEA3",1.81959064045889e-25,1.5432607640781,0.46,0.125,3.75891034505997e-21,"0","TCEA3"
"CD59",3.60688284118446e-25,0.895076319254632,0.886,0.49,7.45109857331886e-21,"0","CD59"
"GLUL",6.19160302309127e-25,0.872681267250222,0.957,0.522,1.27906135251019e-20,"0","GLUL"
"CD9",6.58186092497249e-25,0.733909561619875,0.986,0.715,1.35968082988082e-20,"0","CD9"
"MT1X",1.97630156431723e-24,0.920332608006216,0.972,0.697,4.08264377156654e-20,"0","MT1X"
"GCHFR",3.28523710785633e-24,1.42248687002426,0.445,0.117,6.78664281740961e-20,"0","GCHFR"
"COX6A1",8.6855492542993e-24,0.74747758470402,0.948,0.672,1.79426076495315e-19,"0","COX6A1"
"ANXA2",2.05356846033479e-23,0.678841851134518,0.976,0.754,4.24226172535961e-19,"0","ANXA2"
"COX5A",2.47127571167579e-23,0.740003566868713,0.91,0.55,5.10516136517985e-19,"0","COX5A"
"EPHX1",7.27353044198217e-23,1.12098225333982,0.583,0.216,1.50256591870468e-18,"0","EPHX1"
"CTSC",7.37218786196009e-23,0.886587397060548,0.611,0.235,1.52294656852372e-18,"0","CTSC"
"NDRG2",8.67158913680146e-23,1.11134602183126,0.611,0.224,1.79137688388045e-18,"0","NDRG2"
"GRTP1",1.57478404501228e-22,1.65721509822533,0.346,0.077,3.25318888018638e-18,"0","GRTP1"
"COX5B",1.70333417303259e-22,0.592141772868062,0.962,0.725,3.51874773465072e-18,"0","COX5B"
"WNT5B",1.93384220935248e-22,1.34001142244021,0.441,0.123,3.99493123608035e-18,"0","WNT5B"
"HSPA1B",2.25786098334315e-22,1.02777268798374,0.777,0.391,4.66428921939027e-18,"0","HSPA1B"
"SCPEP1",3.20356585596078e-22,1.01855335215892,0.754,0.373,6.61792634524379e-18,"0","SCPEP1"
"SLC25A6",4.15656241911324e-22,0.733115619800329,0.948,0.697,8.58662664540414e-18,"0","SLC25A6"
"ECI1",4.43866745264244e-22,0.642004529137008,0.787,0.366,9.16939922366875e-18,"0","ECI1"
"SUGCT",7.40274101746833e-22,2.04970831476416,0.209,0.023,1.52925823938861e-17,"0","SUGCT"
"ATP6V1G1",8.34843689581201e-22,0.652772066617909,0.915,0.6,1.72462009393685e-17,"0","ATP6V1G1"
"AKR1A1",1.25062335161246e-21,0.931044218362464,0.801,0.434,2.58353771976102e-17,"0","AKR1A1"
"C19orf33",1.66188738614851e-21,0.721527565413889,0.972,0.62,3.43312696230559e-17,"0","C19orf33"
"SCD5",2.38568535161101e-21,1.04505226118782,0.327,0.071,4.92834879935803e-17,"0","SCD5"
"CTSH",3.12845549499068e-21,0.756416328687251,0.645,0.261,6.46276336155175e-17,"0","CTSH"
"PFKP",4.18544153552875e-21,0.998812484434841,0.408,0.109,8.64628512409529e-17,"0","PFKP"
"HIGD2A",5.85960888161213e-21,0.749958966463505,0.938,0.559,1.21047800276343e-16,"0","HIGD2A"
"DUSP6",9.5763438641062e-21,1.30201243745295,0.398,0.113,1.97828111544706e-16,"0","DUSP6"
"RP11-680F20.6",1.08495940292192e-20,3.61501890625428,0.156,0.009,2.24130913455611e-16,"0","RP11-680F20.6"
"CEBPD",1.39413804628009e-20,0.88497163904714,0.877,0.495,2.88001037600541e-16,"0","CEBPD"
"SNHG19",1.46025032006197e-20,1.57517616655937,0.408,0.119,3.01658511118402e-16,"0","SNHG19"
"SPINT1",1.55970898653346e-20,1.29100716635054,0.545,0.208,3.22204682438083e-16,"0","SPINT1"
"CRNDE",1.76310470681972e-20,0.964446126855719,0.673,0.286,3.64222170334819e-16,"0","CRNDE"
"NDUFB5",2.44046783920198e-20,0.872147532734493,0.796,0.412,5.04151846222344e-16,"0","NDUFB5"
"CYC1",2.64219093383753e-20,0.724852199319188,0.754,0.373,5.45823803112157e-16,"0","CYC1"
"CTSB",3.54317522046969e-20,0.469198461224745,0.73,0.342,7.31949137044628e-16,"0","CTSB"
"CYP4B1",4.5659964491296e-20,1.23766210737454,0.318,0.071,9.43243546461193e-16,"0","CYP4B1"
"RPS4X",4.79358113680595e-20,0.471881799861665,0.995,0.946,9.90257991241373e-16,"0","RPS4X"
"CIDEA",6.71710920646446e-20,2.28794401409126,0.156,0.011,1.38762041987143e-15,"0","CIDEA"
"COLCA1",6.94858065563662e-20,1.03482018773125,0.403,0.114,1.43543779184141e-15,"0","COLCA1"
"KRTCAP3",1.20224504889035e-19,1.15911166507707,0.573,0.225,2.48359782199768e-15,"0","KRTCAP3"
"ESRRA",1.36167749990886e-19,0.767632467292039,0.536,0.193,2.81295337931172e-15,"0","ESRRA"
"TRADD",1.79389487629772e-19,1.09473182434671,0.517,0.194,3.70582803545583e-15,"0","TRADD"
"MDH2",2.47087364259202e-19,0.825882309111593,0.82,0.45,5.1043307708666e-15,"0","MDH2"
"HSPA1A",3.7928324798581e-19,0.765564626584197,0.886,0.528,7.83523333689087e-15,"0","HSPA1A"
"PHYHD1",4.55923332705294e-19,1.11600547712593,0.578,0.237,9.41846420702597e-15,"0","PHYHD1"
"TMEM59",4.69050889070252e-19,0.658948913488203,0.948,0.577,9.68965326641327e-15,"0","TMEM59"
"MGST2",9.06435219581939e-19,0.973137513725607,0.711,0.362,1.87251387661237e-14,"0","MGST2"
"DUSP23",1.38677431718821e-18,0.785893981530877,0.664,0.309,2.86479838444741e-14,"0","DUSP23"
"ATP5D",2.20402721772805e-18,0.607984371736689,0.957,0.664,4.55307942638261e-14,"0","ATP5D"
"XBP1",2.32146945883034e-18,1.21189111241134,0.427,0.136,4.79569160805171e-14,"0","XBP1"
"ATPIF1",2.50417408497741e-18,0.583202906390981,0.953,0.661,5.17312282474633e-14,"0","ATPIF1"
"MYC",2.75648600149858e-18,0.970521184286967,0.455,0.16,5.69434878189577e-14,"0","MYC"
"GSTK1",2.96815858323537e-18,0.62528597503932,0.825,0.445,6.13162200124762e-14,"0","GSTK1"
"ATP5B",3.24869155229625e-18,0.688840324559167,0.891,0.562,6.71114700873359e-14,"0","ATP5B"
"CLDN4",3.92239586929872e-18,0.594376614664232,0.464,0.155,8.10288538679729e-14,"0","CLDN4"
"PPDPF",6.05502511227538e-18,0.534507457994004,0.957,0.653,1.25084708769385e-13,"0","PPDPF"
"LGALS3",6.67883421836463e-18,0.193956398445385,0.976,0.703,1.37971357282976e-13,"0","LGALS3"
"SLC4A4",7.67766395951133e-18,2.70489106500955,0.171,0.019,1.58605182075585e-13,"0","SLC4A4"
"RPL12",8.8218939523165e-18,0.455337762376258,1,0.939,1.82242685266954e-13,"0","RPL12"
"AQP3",1.02816246317981e-17,0.53047070089338,0.976,0.646,2.12397801643685e-13,"0","AQP3"
"ARL4A",1.03424513482629e-17,0.906704866802609,0.668,0.336,2.13654359952415e-13,"0","ARL4A"
"SPINT2",1.04527794098173e-17,0.543558821297995,0.962,0.594,2.15933517048006e-13,"0","SPINT2"
"RPL10A",1.09497468114131e-17,0.495467689535269,0.991,0.917,2.26199869630172e-13,"0","RPL10A"
"LGALS3BP",1.11433876333375e-17,0.936032860833171,0.649,0.308,2.30200101729486e-13,"0","LGALS3BP"
"NDUFA8",1.70039799868144e-17,0.81898664361749,0.649,0.293,3.51268218567612e-13,"0","NDUFA8"
"CIB1",1.79750116402114e-17,0.474659846044065,0.867,0.51,3.71327790463487e-13,"0","CIB1"
"GOT1",2.24941667943071e-17,1.40256236059842,0.374,0.115,4.64684497636797e-13,"0","GOT1"
"ARRDC3",2.40077130005094e-17,0.837569362726578,0.327,0.085,4.95951335164523e-13,"0","ARRDC3"
"IRX3",3.07184562720622e-17,1.29996007727833,0.479,0.178,6.3458186966826e-13,"0","IRX3"
"CLU",3.07808584979977e-17,0.513119700630866,0.858,0.421,6.35870974851636e-13,"0","CLU"
"CD63",3.22329629788776e-17,0.565442322082236,0.957,0.636,6.65868549217653e-13,"0","CD63"
"GPX4",3.65588917330727e-17,0.592897292232777,0.962,0.636,7.55233585421815e-13,"0","GPX4"
"RPL13",3.79400770061628e-17,0.396313887642992,1,0.985,7.83766110793312e-13,"0","RPL13"
"PCBD1",4.95861746358716e-17,0.814412774793129,0.73,0.373,1.02435119562784e-12,"0","PCBD1"
"EPCAM",6.38945548451591e-17,0.906335588765885,0.521,0.206,1.3199337139913e-12,"0","EPCAM"
"TMEM204",6.52451124767203e-17,1.63803413547552,0.355,0.109,1.34783353354409e-12,"0","TMEM204"
"HSPB1",7.01810477997321e-17,0.430949327361581,1,0.862,1.44980008544687e-12,"0","HSPB1"
"RPS5",7.48269594059892e-17,0.450336301267138,1,0.909,1.54577532740892e-12,"0","RPS5"
"UQCRFS1",8.90627488406943e-17,0.615417161607806,0.739,0.392,1.83985826555106e-12,"0","UQCRFS1"
"COX7A2",9.36599871825068e-17,0.567385761102706,0.953,0.699,1.93482801521623e-12,"0","COX7A2"
"ZNF428",1.08541872434793e-16,0.855618608450497,0.649,0.293,2.24225800075796e-12,"0","ZNF428"
"KLF5",1.23516468592385e-16,0.807180107257241,0.668,0.336,2.55160320818149e-12,"0","KLF5"
"PIP",1.32024241084482e-16,1.14954496066714,0.322,0.09,2.72735677232323e-12,"0","PIP"
"YBX3",1.35210878937335e-16,0.581835745558832,0.919,0.608,2.79318633708746e-12,"0","YBX3"
"TIMP1",1.39936625341325e-16,0.637985106769644,0.81,0.404,2.89081080630109e-12,"0","TIMP1"
"DDT",1.50232612733642e-16,0.626816946804452,0.848,0.494,3.10350531385157e-12,"0","DDT"
"RPL37A",1.92356880174402e-16,0.30821475509954,0.995,0.959,3.9737084306428e-12,"0","RPL37A"
"MIR4435-2HG",2.11804531434147e-16,1.54493576031082,0.261,0.058,4.3754580103666e-12,"0","MIR4435-2HG"
"CMTM8",2.3019822990595e-16,1.36591334042793,0.27,0.062,4.75543503339712e-12,"0","CMTM8"
"UQCRH",2.32991466313808e-16,0.559698109413388,0.967,0.741,4.81313771111065e-12,"0","UQCRH"
"RPL10",2.66200150920348e-16,0.421996172781679,1,0.972,5.49916271771254e-12,"0","RPL10"
"IER2",3.07869512750158e-16,0.676507534721021,0.739,0.403,6.35996839439277e-12,"0","IER2"
"SLC16A9",3.53129025621531e-16,1.76197896251812,0.246,0.053,7.29493941128958e-12,"0","SLC16A9"
"GNB2L1",3.82026412030646e-16,0.451352156825639,1,0.905,7.89190161972908e-12,"0","GNB2L1"
"TFCP2L1",5.29916766926076e-16,0.529460956153747,0.697,0.339,1.09470205711589e-11,"0","TFCP2L1"
"NDUFA1",5.85012211367048e-16,0.521607485175249,0.915,0.65,1.20851822624205e-11,"0","NDUFA1"
"DDIT4",5.91797299632793e-16,0.61207200525881,0.886,0.506,1.22253486158142e-11,"0","DDIT4"
"TIMM13",6.16687656162933e-16,0.462762501470957,0.744,0.374,1.27395336010139e-11,"0","TIMM13"
"SLC25A4",6.6109107516882e-16,0.925858931258703,0.483,0.19,1.36568194308375e-11,"0","SLC25A4"
"SIX1",7.10414195851542e-16,1.32795914808346,0.46,0.174,1.46757364579011e-11,"0","SIX1"
"RARRES3",8.032127358664e-16,0.495501984859699,0.635,0.284,1.65927686975281e-11,"0","RARRES3"
"TP53I3",8.74965415106599e-16,1.44659113775719,0.332,0.1,1.80750355452721e-11,"0","TP53I3"
"CRAT",8.94828773536094e-16,1.78183300078017,0.18,0.027,1.84853728037086e-11,"0","CRAT"
"MIEN1",1.07634592811132e-15,0.788572821387669,0.498,0.206,2.22351541829235e-11,"0","MIEN1"
"ARPC1A",1.28875754875424e-15,0.49706312413361,0.678,0.313,2.66231534421651e-11,"0","ARPC1A"
"SLC22A18",1.29373905190389e-15,1.25430337091869,0.36,0.115,2.67260613342305e-11,"0","SLC22A18"
"UQCC2",1.35314561961487e-15,0.393772789296507,0.701,0.323,2.79532822100041e-11,"0","UQCC2"
"MRPL41",1.54288975802109e-15,0.616869033148729,0.82,0.449,3.18730166211997e-11,"0","MRPL41"
"SVOPL",1.5692216023141e-15,2.99311305435332,0.147,0.016,3.24169798606048e-11,"0","SVOPL"
"MGST3",1.74170033335888e-15,0.608133056429226,0.882,0.502,3.59800454865278e-11,"0","MGST3"
"CAPNS2",1.7596863810531e-15,0.763056744309702,0.697,0.353,3.6351601259795e-11,"0","CAPNS2"
"TNNT3",1.95155434848072e-15,2.5370581305921,0.142,0.015,4.03152097309147e-11,"0","TNNT3"
"C9orf16",2.18141521721083e-15,0.628462162730022,0.853,0.525,4.50636755571414e-11,"0","C9orf16"
"PLAT",2.23045315706076e-15,1.8556818080086,0.261,0.065,4.60767013185612e-11,"0","PLAT"
"S100A11",2.52716869624395e-15,0.27839344638814,1,0.917,5.22062509270076e-11,"0","S100A11"
"FKBP2",2.71962863245746e-15,0.521568917459461,0.806,0.446,5.61820882893062e-11,"0","FKBP2"
"SPON2",2.96094825423669e-15,0.588845594932614,0.393,0.128,6.11672690360215e-11,"0","SPON2"
"DUSP1",2.98400953883452e-15,0.85695745726072,0.839,0.55,6.16436690532436e-11,"0","DUSP1"
"CALML3",3.04334074033039e-15,0.130569077622547,0.943,0.619,6.28693330137452e-11,"0","CALML3"
"APIP",3.0933715134831e-15,0.762526679718575,0.431,0.161,6.3902868725534e-11,"0","APIP"
"FGGY",3.19713612171208e-15,1.1292582889269,0.294,0.08,6.60464380023282e-11,"0","FGGY"
"NAA38",3.39152773279792e-15,0.431383296801423,0.744,0.389,7.00621799041395e-11,"0","NAA38"
"MRPL15",3.43410265745579e-15,0.897385567389735,0.398,0.137,7.09416926977216e-11,"0","MRPL15"
"C7orf55",3.67856637979877e-15,0.992965953025545,0.55,0.243,7.5991824273883e-11,"0","C7orf55"
"SMIM4",3.99271644574499e-15,0.713247902341489,0.517,0.21,8.24815363361999e-11,"0","SMIM4"
"RAB13",4.43051309177999e-15,0.538556152804851,0.73,0.358,9.1525539449991e-11,"0","RAB13"
"RPS15",4.55551133666954e-15,0.35756615195386,0.991,0.965,9.41077531929194e-11,"0","RPS15"
"TECR",6.8071472080126e-15,0.485702809941358,0.829,0.478,1.40622047023124e-10,"0","TECR"
"MDH1",6.91187569335194e-15,0.553112243456265,0.749,0.419,1.42785528073264e-10,"0","MDH1"
"H3F3A",8.57671895432892e-15,0.383594180576751,0.995,0.89,1.77177860158527e-10,"0","H3F3A"
"EEF1A1",8.97703383098984e-15,0.332276091529078,1,0.991,1.85447564880588e-10,"0","EEF1A1"
"RPL18A",9.23228452935947e-15,0.319706401272536,0.991,0.959,1.90720533807508e-10,"0","RPL18A"
"ATP6V0D1",9.6820873714185e-15,0.711454703640492,0.488,0.197,2.00012560918763e-10,"0","ATP6V0D1"
"RHOB",1.10333627061869e-14,0.858330306198973,0.517,0.233,2.27927206784409e-10,"0","RHOB"
"ZNF812P",1.13025508849849e-14,2.02300418716989,0.175,0.028,2.33488096182018e-10,"0","ZNF812P"
"HSD11B2",1.19616625882242e-14,0.795533426516105,0.336,0.104,2.47104025747535e-10,"0","HSD11B2"
"BAG3",1.23114460970555e-14,1.12719798709625,0.379,0.136,2.54329853472972e-10,"0","BAG3"
"RP11-44F21.5",1.26125471216327e-14,1.28301341266115,0.341,0.11,2.60549998438689e-10,"0","RP11-44F21.5"
"CFH",1.26439322893524e-14,0.550224667829673,0.55,0.243,2.61198353233442e-10,"0","CFH"
"RERG",1.27519176014432e-14,1.09618150829402,0.374,0.129,2.63429113810614e-10,"0","RERG"
"DNAJC4",1.28602360843455e-14,0.989337316742019,0.55,0.247,2.6566675703041e-10,"0","DNAJC4"
"RHOV",1.34965624570318e-14,0.407369513866687,0.389,0.129,2.78811987237363e-10,"0","RHOV"
"ATP1B3",1.42666371343563e-14,0.595110637158093,0.929,0.521,2.94720189921531e-10,"0","ATP1B3"
"C4orf48",1.48938979038752e-14,0.621079394147529,0.455,0.178,3.07678142898255e-10,"0","C4orf48"
"RPS10",1.49710328605325e-14,0.380842444169956,0.995,0.904,3.09271596832881e-10,"0","RPS10"
"SLC16A3",1.66426104543967e-14,1.16877029444334,0.256,0.064,3.43803046766927e-10,"0","SLC16A3"
"FCGRT",1.74960129319888e-14,0.729441609885655,0.659,0.324,3.61432635149025e-10,"0","FCGRT"
"RP11-12G12.7",1.89825070057498e-14,2.27553318819354,0.204,0.042,3.9214062972478e-10,"0","RP11-12G12.7"
"RHBDL1",2.33016223552317e-14,1.29626637132264,0.27,0.073,4.81364914614377e-10,"0","RHBDL1"
"DYNLT1",2.49824453767634e-14,0.574037624432778,0.73,0.389,5.16087356593179e-10,"0","DYNLT1"
"TCEB2",3.05746858469597e-14,0.492681953649344,0.962,0.68,6.31611860226493e-10,"0","TCEB2"
"HADHB",3.11836449377018e-14,0.518827462206884,0.649,0.313,6.44191737123043e-10,"0","HADHB"
"HINT2",3.20887967931418e-14,0.747680125535702,0.569,0.258,6.62890364152724e-10,"0","HINT2"
"FAM84A",3.25991683780754e-14,0.968547394257637,0.227,0.052,6.73433620354282e-10,"0","FAM84A"
"ATP5G3",3.82046066711057e-14,0.454636200995081,0.962,0.701,7.89230764611701e-10,"0","ATP5G3"
"MRPL4",3.87982837054947e-14,0.708321961794839,0.479,0.19,8.01494944788109e-10,"0","MRPL4"
"BAD",3.963755675947e-14,0.635562016514971,0.602,0.284,8.1883264753713e-10,"0","BAD"
"ZNF703",4.12676471700631e-14,1.03040459660192,0.341,0.113,8.52507055239163e-10,"0","ZNF703"
"SELENBP1",4.58438717942913e-14,1.42115269975645,0.27,0.075,9.47042703526469e-10,"0","SELENBP1"
"AKR1C3",4.73068493481228e-14,0.992116161927781,0.223,0.05,9.77264893833521e-10,"0","AKR1C3"
"NDUFS4",4.7328347223946e-14,0.654030354025793,0.725,0.385,9.77708996952276e-10,"0","NDUFS4"
"TMEM219",4.94902260057889e-14,0.497048673669273,0.725,0.372,1.02236908882759e-09,"0","TMEM219"
"SCNN1B",5.02344835659589e-14,0.734149930243489,0.246,0.061,1.03774396150558e-09,"0","SCNN1B"
"NDUFS3",5.2040426019262e-14,0.648041888430652,0.649,0.319,1.07505112070591e-09,"0","NDUFS3"
"GPRC5C",5.93419603060608e-14,0.894851680925276,0.417,0.159,1.2258862160026e-09,"0","GPRC5C"
"NDUFS8",6.13288626869096e-14,0.385221812247802,0.782,0.44,1.26693164538618e-09,"0","NDUFS8"
"RPS9",6.28574924706165e-14,0.405936694330198,0.986,0.927,1.298510079458e-09,"0","RPS9"
"JUNB",6.63514458406042e-14,0.603603212884217,0.839,0.52,1.3706881681752e-09,"0","JUNB"
"LRFN4",7.63111381983502e-14,2.37052850346866,0.161,0.026,1.57643549290152e-09,"0","LRFN4"
"GPX1",7.90337999838739e-14,0.409300626836731,0.929,0.57,1.63268024006687e-09,"0","GPX1"
"ST6GALNAC1",8.52725133984817e-14,0.969172539605669,0.346,0.118,1.76155958178584e-09,"0","ST6GALNAC1"
"TPI1",8.54123715477211e-14,0.503890942364188,0.915,0.602,1.76444877143282e-09,"0","TPI1"
"MRPS31",9.76938135654049e-14,1.00346131282539,0.469,0.199,2.01815880063414e-09,"0","MRPS31"
"EHF",9.82464849518424e-14,0.726431950652795,0.616,0.304,2.02957588613516e-09,"0","EHF"
"SQSTM1",1.10968350192777e-13,0.489622930361438,0.744,0.393,2.29238417828239e-09,"0","SQSTM1"
"H2AFJ",1.12616399154442e-13,0.420583313857076,0.573,0.261,2.32642957373246e-09,"0","H2AFJ"
"NDUFA6",1.13860838093937e-13,0.601790038354751,0.763,0.423,2.35213719334455e-09,"0","NDUFA6"
"UQCRC2",1.14241989835425e-13,0.60460424666353,0.716,0.383,2.36001102602021e-09,"0","UQCRC2"
"CCDC57",1.19148786506947e-13,1.33762719506012,0.37,0.133,2.46137563166052e-09,"0","CCDC57"
"CTSL",1.25226919472005e-13,0.91970802352173,0.521,0.232,2.58693770245267e-09,"0","CTSL"
"GAPDH",1.28462301677924e-13,0.40774341689489,0.991,0.878,2.65377422806255e-09,"0","GAPDH"
"EPAS1",1.35017517595031e-13,0.866324824182533,0.265,0.073,2.78919187847815e-09,"0","EPAS1"
"CHST9",1.43616409943607e-13,1.07170741187623,0.427,0.167,2.96682779661503e-09,"0","CHST9"
"VDAC2",1.63051317170957e-13,0.448339044664519,0.891,0.548,3.36831411011762e-09,"0","VDAC2"
"SNRNP25",1.66259998832514e-13,1.33153216891173,0.341,0.114,3.43459905588208e-09,"0","SNRNP25"
"GJB5",1.74340808289574e-13,0.746888325185236,0.275,0.08,3.60153241764602e-09,"0","GJB5"
"GADD45B",1.81506939840688e-13,0.922805357960929,0.526,0.246,3.74957036322892e-09,"0","GADD45B"
"U47924.27",1.84507815168432e-13,1.12097375489386,0.327,0.11,3.81156244574947e-09,"0","U47924.27"
"RPS14",1.92435965468434e-13,0.315519635237986,1,0.967,3.97534217464691e-09,"0","RPS14"
"UQCR11",2.03137533983166e-13,0.397524767126836,0.934,0.68,4.19641517702423e-09,"0","UQCR11"
"ETHE1",2.19836314833357e-13,0.761340077024329,0.54,0.251,4.54137859182748e-09,"0","ETHE1"
"TSTD1",2.24367887868129e-13,0.577150984198122,0.853,0.517,4.63499182757981e-09,"0","TSTD1"
"ACADVL",2.57682198670435e-13,0.612949391024435,0.635,0.32,5.32319886013384e-09,"0","ACADVL"
"PSMB3",2.64421188515072e-13,0.433595385761186,0.791,0.429,5.46241291234436e-09,"0","PSMB3"
"ADI1",2.71979362389354e-13,0.583440666297437,0.73,0.387,5.61854966823927e-09,"0","ADI1"
"PLD1",2.78779348931143e-13,0.894620300249627,0.218,0.052,5.75902379021956e-09,"0","PLD1"
"IER3",2.86661962933843e-13,0.635105166642463,0.706,0.379,5.92186283028733e-09,"0","IER3"
"COX8A",2.96595064900766e-13,0.4238251656757,0.953,0.7,6.12706085072002e-09,"0","COX8A"
"HS3ST1",3.10546526578754e-13,1.58701315877306,0.213,0.05,6.4152701460639e-09,"0","HS3ST1"
